pincode,searchTerm,service,id,name,price,originalPrice,savings,quantity,deliveryTime,discount,imageUrl,available
560024,onions,blinkit,530158,Onion (Eerulli),₹29,₹38,₹9,1 kg,earliest,23% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/f53c1ea1-cfa0-438b-a14c-b4f5ebeed7dd.png,true
560024,onions,blinkit,532987,Onion - Pack of 2 (Eerulli),₹58,₹76,₹18,2 x 1 kg,earliest,23% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/4e24f749-8a65-4a87-a562-7bc4bf49351f.png,true
560024,onions,blinkit,145447,Sambhar Onion (Eerulli),₹25,₹29,₹4,250 g,earliest,13% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/bdacadc8-49b9-4366-925f-283062112dd4.png,true
560024,onions,blinkit,711550,Organically Grown Sambhar Onion,₹39,₹46,₹7,250 g,earliest,15% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/cb90e2e0-b408-42bd-a44f-648703a93dad.png,true
